S/No,Hausa,Polarity,English
7363,kyakkyawa fari,positive,beautiful white
7364,kyakkyawan abin hawa,positive,beautiful vehicle
7365,kyakkyawan abota,positive,good friendship
7366,kyakkyawan ado,positive,good decoration
7367,kyakkyawan aiki,positive,good practice
7368,kyakkyawan albarkatun gona,positive,good farm resources
7369,kyakkyawan alfadari na karya,positive,a good lying mule
7370,kyakkyawan amsa amo,positive,good noise response
7371,kyakkyawan apple,positive,a good apple
7372,kyakkyawan asali,positive,original beauty
7373,kyakkyawan baby shower,positive,a good baby shower
7374,kyakkyawan bakin teku ne,positive,it is a beautiful beach
7375,kyakkyawan bango,positive,a good background
7376,kyakkyawan bayani,positive,good information
7377,kyakkyawan bikin biki,positive,a good holiday party
7378,kyakkyawan biya,positive,good payback
7379,kyakkyawan bukka,positive,a beautiful hut
7380,kyakkyawan dagawa,positive,a good lift
7381,kyakkyawan daidaito,positive,good balance
7382,kyakkyawan dakin karatu,positive,good library
7383,kyakkyawan dalili,positive,good reason
7384,kyakkyawan dama,positive,good opportunities
7385,kyakkyawan dangantaka,positive,a good relationship
7386,kyakkyawan darasi,positive,a good lesson
7387,kyakkyawan diflomasiyya,positive,good diplomacy
7388,kyakkyawan dokoki,positive,good rules
7389,kyakkyawan fahimtar mutane,positive,rich understanding of people
7390,kyakkyawan fasali,positive,very nice feature
7391,kyakkyawan fata,positive,good skin
7392,kyakkyawan feda,positive,good pedal
7393,kyakkyawan filin wasa,positive,nice playground
7394,kyakkyawan gajeren kare,neutral,a good short dog
7395,kyakkyawan gamawa,positive,a good end
7396,kyakkyawan gani,positive,a beautiful sight
7397,kyakkyawan ganowa,positive,a good discovery
7398,kyakkyawan gimbiya,positive,a beautiful princess
7399,kyakkyawan gini,positive,good building
7400,kyakkyawan gona,positive,a beautiful farm
7401,kyakkyawan gudanarwa,positive,good management
7402,kyakkyawan hali,positive,good character
7403,kyakkyawan hanyar jirgin sama,positive,good flight path
7404,kyakkyawan hatimi,positive,good seal
7405,kyakkyawan hikima,positive,beauty wise
7406,kyakkyawan iko,positive,good authority
7407,kyakkyawan ilimi,positive,good education
7408,kyakkyawan inganci,positive,good quality
7409,kyakkyawan iri,positive,good seed
7410,kyakkyawan iri-iri,positive,good variety
7411,kyakkyawan iyaka,positive,a good limit
7412,kyakkyawan jagoranci,positive,good leadership
7413,kyakkyawan ji,positive,good feelings
7414,kyakkyawan jijiyoyi,positive,good nerves
7415,kyakkyawan kaddarorin,positive,good properties
7416,kyakkyawan kalkuleta,positive,a good calculator
7417,kyakkyawan kamfani,positive,good company
7418,kyakkyawan kariya,positive,good protection
7419,kyakkyawan keji,positive,a quality cage
7420,kyakkyawan koyarwa,positive,good teaching
7421,kyakkyawan kursiyin,positive,a beautiful throne
7422,kyakkyawan kwakwalwar ajiya,positive,good memory
7423,kyakkyawan kwallon kafa,positive,good football
7424,kyakkyawan kwarewar kwamfuta,positive,good computer skills
7425,kyakkyawan kyauta,positive,a great gift
7426,kyakkyawan liyafar,positive,good reception
7427,kyakkyawan lu'u-lu'u,positive,a beautiful pearl
7428,kyakkyawan maki tsawo,positive,good point extension
7429,kyakkyawan makoma,positive,good future
7430,kyakkyawan malamin wallafe-wallafe,positive,good publishing teacher
7431,kyakkyawan mallaka,positive,good possession
7432,kyakkyawan manazarci,positive,a good analyst
7433,kyakkyawan manufa,positive,a good goal
7434,kyakkyawan masana'anta,positive,good factory
7435,kyakkyawan masauki,positive,good accommodation
7436,kyakkyawan mimbari,positive,a beautiful pulpit
7437,kyakkyawan niyya,positive,good intentions
7438,kyakkyawan riga,positive,a good shirt
7439,kyakkyawan sabis,positive,very good service
7440,kyakkyawan sake bugawa,positive,nice reprint
7441,kyakkyawan samfur,positive,good product
7442,kyakkyawan sarari,positive,good space
7443,kyakkyawan shaida,positive,good testimony
7444,kyakkyawan shiri,positive,a good plan
7445,kyakkyawan shugabanci,positive,good governance
7446,kyakkyawan shuka,positive,a good plant
7447,kyakkyawan tabarma,positive,a good mat
7448,kyakkyawan tafkin,positive,a beautiful lake
7449,kyakkyawan takalma,positive,good shoes
7450,kyakkyawan take,positive,a good title
7451,kyakkyawan taksi,positive,nice taxi
7452,kyakkyawan tallafi,positive,good support
7453,kyakkyawan tanadi,positive,good savings
7454,kyakkyawan taro,positive,a beautiful meeting
7455,kyakkyawan taska,positive,a good treasure
7456,kyakkyawan tsarin rigakafi,positive,a good immune system
7457,kyakkyawan tsofaffin littattafai,positive,good old books
7458,kyakkyawan tubalan,positive,good blocks
7459,kyakkyawan wakilci,positive,good representation
7460,kyakkyawan wutar lantarki,positive,good electricity
7461,kyakkyawan yadawa,positive,good spread
7462,kyakkyawan yanayi,positive,good weather
7463,kyakkyawan yar wasan kwaikwayo,positive,a good actress
7464,kyakkyawan zama,positive,a good existence
7465,kyakkyawar haske ce,positive,it is a beautiful glow
7466,kyakkyawar huldace,positive,it is a beautiful interaction
7467,kyakkyawar imaninsu,positive,their good faith
7468,kyakkyawar kasa ce,positive,it is a beautiful wetland
7469,kyakkyawar kurciya,positive,a beautiful dove
7470,kyakkyawar kwadi ne,positive,it is a beautiful frog
7471,kyakkyawar mace ce,positive,she is a beautiful woman
7472,kyakkyawar niyya ce,positive,it is a beautiful intention
7473,kyakkyawar yarinya,positive,a beautiful girl
7474,kyakykyawan itace kuka ce,positive,beautiful tree you said
7475,kyalli mai kyalli,neutral,glaringly glaring
7476,kyamarar inganci,positive,high quality camera
7477,kyau ce,positive,beautiful
7478,kyau sosai,positive,very beautiful
7479,kyau yana da kyau,positive,beauty is good
7480,kyauta ce,positive,it was an award
7481,kyauta ce mai wuya,negative,it is a hard gift
7482,kyauta ce ta abinci,positive,it is a gift of food
7483,kyauta ce ta ayaba,positive,it is a gift of bananas
7484,kyauta ce ta dawakai,positive,it is a gift of horses
7485,kyauta ce ta gida,positive,it is a local gift
7486,kyauta ce ta girmamawa,positive,it is a gift of honor
7487,kyauta ce ta hula,positive,it is a gift of cap
7488,kyauta ce ta kudi,positive,it is a monetary gift
7489,kyauta ce ta madara,positive,it is a gift of milk
7490,kyauta ce ta nama,positive,it is a gift of meat
7491,kyauta ce ta orange,positive,it is an orange gift
7492,kyauta ce ta shayi,positive,it is a gift of tea
7493,kyauta ce ta shinkafa,positive,it is a gift of rice
7494,kyauta ce ta takardu,positive,it is a gift of documents
7495,kyauta ce ta tufafi,neutral,it is a gift of clothing
7496,kyauta ce ta turare,positive,it is a gift of perfume
7497,kyauta ce ta wardi,positive,it is a gift of roses
7498,kyauta ce tasa,positive,it is a bowl gift
7499,kyauta ga iyaye,positive,gifts for parents
7500,kyauta ne,positive,a gift
7501,kyauta sosai,positive,very free
7502,kyautar abarba ce,positive,it is a pineapple gift
7503,kyautar alkalami ne,positive,the gift is a pen
7504,kyautar babur ne,positive,the prize is a motorcycle
7505,kyautar dabba ce,positive,it is an animal gift
7506,kyautar daga gare ta,neutral,accept the gift from her
7507,kyautar iyawa,neutral,gift of ability
7508,kyautar mota ce,positive,it is a car gift
7509,kyaututtuka na suna da kyau sosai,positive,my gifts are very good
7510,kyawawan basirar kwamfuta,positive,rich computer skills
7511,kyawawan dabarun dafa abinci,positive,rich cooking skills
7512,kyawawan furanni,positive,beautiful flowers
7513,kyawawan halaye,positive,good manners
7514,kyawawan haske,positive,beautiful light
7515,kyawawan karnuka ne,positive,they are beautiful dogs
7516,kyawawan kaya,positive,good stuff
7517,kyawawan keken keke,positive,nice bike rack
7518,kyawawan ku,positive,your beauty
7519,kyawawan kuyangi ne,positive,they are beautiful maids
7520,kyawawan kwanoni ne,positive,they are beautiful bowls
7521,kyawawan makiyaya ne,positive,they are beautiful shepherds
7522,kyawawan mata ne,positive,they are beautiful women
7523,kyawawan mayafi ne,positive,they are beautiful veils
7524,kyawawan rumfu ne,positive,they are beautiful booths
7525,kyawawan tagwaye ne,positive,they are beautiful twins
7526,kyawawan takalma,positive,the beautiful shoes
7527,kyawawan 'yan mata ne,positive,they are beautiful young women
7528,kyawawan yaran mage,positive,beautiful mage children
7529,la'akari ne,neutral,it is consideration
7530,la'ananne ,negative,it's damned 
7531,la'ananne a tsakaninsu,negative,curses between them
7532,la'ananne ce,negative,it is cursed
7533,la'ananne ne,negative,it is cursed
7534,la'ananne ne a kansa,neutral,it was a curse on him
7535,la'anar ka,negative,the curse
7536,labarai a halin yanzu,neutral,the news at the moment
7537,labarai a tsare,neutral,news in custody
7538,labari mai dadi,positive,good news
7539,labari mai kyau,positive,a good story
7540,labari mara kyau,negative,bad news
7541,labari ne,neutral,it is a scenario
7542,labari ne mara kyau,negative,it is bad news
7543,labari ne na almara,neutral,it's a fictional story
7544,labarin batsa,negative,porn story
7545,labarin game da wani abu ne,neutral,the story is about something
7546,labarin gamsuwa,positive,the legend of satisfaction
7547,labarin mugunta,negative,a tale of evil
7548,labarin sagacity,negative,the story of sagacity
7549,labarin su,neutral,their news
7550,labarin yana game da wani abu,neutral,the narrative is about something
7551,labule ce,neutral,curtain
7552,lada ne,neutral,it is a wage
7553,ladabi,neutral,courtesy of tells
7554,ladabi da biyayya,positive,courtesy and obedience
7555,ladabi na dattawan mata,neutral,courtesy of female elders
7556,ladabi na direbobi,neutral,courtesy of drivers
7557,ladabi na karamin yaro,positive,courtesy of a young child
7558,ladabi na ma'aikata,neutral,discipline of employees
7559,ladabi na ma'aikatan banki,neutral,courtesy of bankers
7560,ladabi na ma'aikatan makaranta,neutral,discipline of school staff
7561,ladabi na mai gida,neutral,courtesy of the homeboy
7562,ladabi na makwabta,neutral,courtesy of neighbors
7563,ladabi na malamai mata,neutral,courtesy of female teachers
7564,ladabi na malaman makaranta,neutral,courtesy of school teachers
7565,ladabi na manyan mata,positive,courtesy of older women
7566,ladabi na masu bincike,neutral,courtesy of researchers
7567,ladabi na masu dubawa,neutral,courtesy of reviewers
7568,ladabi na masu ibada,neutral,courtesy of worshipers
7569,ladabi na mayaka,negative,discipline of fighters
7570,ladabi na mutanen kauye,neutral,courtesy of villagers
7571,ladabi na 'yan kasuwa,neutral,courtesy of merchants
7572,ladabi na yaran makaranta,neutral,courtesy of school children
7573,ladabi ne,positive,it is decency
7574,ladabi ne na abokai,positive,it is the courtesy of friends
7575,ladabi ne na amurka,positive,it is american courtesy
7576,ladabi ne na karnuka,negative,it is the courtesy of the dogs
7577,ladabi ne na kyanwa,negative,it is the courtesy of cats
7578,ladabi ne na makanikai,neutral,it is the courtesy of mechanics
7579,ladabi ne na marubuta,neutral,it is courtesy of the authors
7580,ladabi ne na wata budurwa,positive,it is the courtesy of a young woman
7581,ladabin matar aure,positive,the courtesy of a married woman
7582,ladabin 'yan mata ne,neutral,it is the courtesy of girls
7583,ladubban yahudawa,neutral,jewish etiquette
7584,lafiya da dacewa,neutral,health and fitness
7585,lafiya iya,neutral,"okay, ok"
7586,lafiya lau,positive,good health
7587,lafiya ne,positive,healthy
7588,lafiya yana da kyau,positive,health is good
7589,lafiyar mutuwa,negative,the health of death
7590,lafiyarsu ce,positive,their health
7591,lafiyayyan giwa,positive,a healthy elephant
7592,lafiyayyan kaza ce,negative,it is a healthy chicken
7593,lafiyayyan madara,positive,healthy milk
7594,laifi akan kanku,negative,blame it on yourself
7595,laifi ba shi da kyau,negative,crime is not good
7596,laifi ce,neutral,it fault
7597,laifi ce ,negative,a criminal
7598,laifi don samun kwai,negative,a criminal act to get an egg
7599,laifi ne,negative,it's a crime
7600,laifi ne a fili,negative,it is clearly a crime
7601,laifin da yafaru,neutral,the crime has occur
7602,laifin gulma ne,negative,the fault is gossip
7603,laifin kisan kiyashi ne,negative,it's a crime of genocide
7604,laifin laifi ne,negative,it is a criminal offense
7605,laifin makirci ne,neutral,it is a plot flaw
7606,laifin mugunta ne,negative,the fault is evil
7607,laifin rashin baiwa,negative,the fault of not being gifted
7608,laifin rashin iya girki,negative,the fault of not being able to cook
7609,laifin rashin iya kula,negative,the fault of not being able to pay attention
7610,laifin rashin iya kula da mace,negative,the fault of not being able to take care of a woman
7611,laifin rashin iya magana,positive,the defect of not being able to speak
7612,laifin rashin iya tsaftacewa,positive,the fault of not being able to clean
7613,laifin rashin kebewa,negative,the fault of not being isolated
7614,laifin rashin kula da miji,negative,the fault of neglecting the husband
7615,laifin rashin nuna awo,negative,the fault of not showing measurement
7616,laifin rashin wanka,negative,the fault of not bathing
7617,laifin sakaci da aiki,negative,the fault of neglecting work
7618,laifin sakaci da yara,negative,the fault of neglecting children
7619,laifin zama latti,negative,the fault of being late
7620,laifina ne,neutral,it is my fault
7621,laifinsa daya,neutral,his fault
7622,laifuka ce,negative,crimes
7623,laifukan dasukayi,negative,committed crimes
7624,laifukan fyade,neutral,rape crimes
7625,laifukan yara,negative,juvenile crimes
7626,laka ba shi da lafiya,negative,mud is sick
7627,lakabi ne,neutral,it was a label
7628,lalace wa,neutral,spoiled
7629,lalacewa abin hawa ne,neutral,damage is a vehicle
7630,lalacewa ce,negative,it is desolation
7631,lalacewa ga amana,negative,damage to trust
7632,lalacewa ga jikin mutum,negative,damage to the human body
7633,lalacewa ga kasuwanci,neutral,damage to the business
7634,lalacewa ga masana'antar tallace-tallace,neutral,damage to the retail industry
7635,lalacewa ga sana'ar likitanci,neutral,damage to the medical profession
7636,lalacewa kwamfutoci ne,negative,computer damages
7637,lalacewa magani ne,negative,damage is a drug
7638,lalacewa mai yawa,negative,excessive damage
7639,lalacewa makirci ne,negative,damage is a conspiracy
7640,lalacewa marowaci ne,negative,destruction is a beggar
7641,lalacewa mutane ne,negative,damage people
7642,lalacewa na gaske ne,positive,damage is real
7643,lalacewa ne jiki,negative,corrupt is the body
7644,lalacewa sana'a ce,neutral,destruction is a profession
7645,lalacewa tsarin ilmantarwa,negative,destroying the learning process
7646,lalacewar,neutral,the damage
7647,lalacewar abinci ne,neutral,it is food spoilage
7648,lalacewar aure,neutral,destruction of marriage
7649,lalacewar ayyukan hannu,neutral,impairment of hand functions
7650,lalacewar ba ta da kyau,negative,destruction is not good
7651,lalacewar bazawara ce,neutral,damage is a widow
7652,lalacewar dangi ne,neutral,destruction is a family
7653,lalacewar fasinjojin,neutral,damage is the passengers
7654,lalacewar gaskiya ce,negative,the destruction is real
7655,lalacewar gwauruwa ce,neutral,it is widow's damage
7656,lalacewar jirgin ruwa,negative,ship damage
7657,lalacewar karatu ne,neutral,damage is scholarship
7658,lalacewar kaya,negative,the damage items
7659,lalacewar kayan aikin hannu,negative,damage to handicrafts
7660,lalacewar kwakwalwa,negative,brain damage
7661,lalacewar lafiya ce,positive,it is a healthy mess
7662,lalacewar mace ce,negative,the destruction of woman
7663,lalacewar malamai ne,negative,it is the corruption of teachers
7664,lalacewar manoma ce,negative,it is the damage to the farmers
7665,lalacewar masana'antar gine-gine,neutral,damage to the construction industry
7666,lalacewar masoyi ne,negative,it is the destruction of a lover
7667,lalacewar mata ce,negative,it is the destruction of women
7668,lalacewar mata nagari,positive,the destruction of good women
7669,lalacewar matan aure,negative,damage to married women
7670,lalacewar maza ne,negative,destruction is men
7671,lalacewar mota ce,negative,it is car damage
7672,lalacewar motoci ne,neutral,damage  cars
7673,lalacewar mutanen kirki,negative,the destruction of good people
7674,lalacewar mutum,negative,destruction of a person
7675,lalacewar na samari ne,neutral,destruction is for boys
7676,lalacewar noma,neutral,destruction of agriculture
7677,lalacewar nuna ainihi,negative,defects in showing identity
7678,lalacewar nunawa,negative,defect showing plot
7679,lalacewar rashin iyawa,negative,the defect of lack of ability
7680,lalacewar rubutu,neutral,destruction of writing
7681,lalacewar siffar jiki,negative,deterioration of body shape
7682,lalacewar ta tsufa,negative,the dilapidated is old
7683,lalacewar tafin hannunta,neutral,damage to her soles
7684,lalacewar tawa ce,neutral,it is the destruction
7685,lalacewar ungozoma,neutral,destruction of midwifery
7686,lalacewar wani abu,negative,the decay of something
7687,lalacewar yaro,neutral,the damage
7688,lalacewar yaron,negative,bad boy
7689,lalacewar zamantakewa ce,positive,it is social damage
7690,lalacewar zazzabi,negative,necessity of fever
7691,lalaci ne,negative,he is lazy
7692,lalata alakar,negative,destroying the relationship
7693,laliga ne,neutral,it's a league
7694,lallai abin kyama ne,negative,absolutely detestable
7695,lallai abin mamaki ne,positive,it was really wonderful
7696,lallai haka ne,positive,absolutely so
7697,lallai kam,positive,absolutely stupendously
7698,lallai maras tushe,negative,absolutely baseless
7699,lallai tabbas,neutral,"absolutely, surely"
7700,lallai yana yiwuwa,neutral,it's necessarily possible
7701,lalle ne,neutral,it is certainly
7702,lamarin dai bai dace ba,negative,the situation is not right
7703,lamarin kwatsam,positive,a sudden event
7704,lamarin tarihi ne,neutral,it is a historical event
7705,lamarin yana faruwa,neutral,the event is happening
7706,lamarin yana kara ta'azzara,negative,the situation is getting worse
7707,lamarin yana samun sauki,positive,the situation is easing
7708,lamba ne,neutral,badge
7709,lambar dari ce,neutral,the number is hundred
7710,lambar goma sha biyar ce,neutral,the number is fifteen
7711,lambar kyauta kyauta ce,neutral,the toll-free number is free
7712,lambobi masu datti,negative,dirty numbers
7713,lambobi masu kyau,positive,good numbers
7714,lambobin craps ne,negative,the numbers are craps
7715,lambu a tsare,neutral,garden in custody
7716,lambun ne,positive,the garden
7717,lambun yana da kyau,positive,the garden is beautiful
7718,lambun yana da tsire-tsire,neutral,the garden has plants
7719,lambun yana waje,neutral,the garden is outside
7720,lambuna ne masu kyau,positive,they are beautiful gardens
7721,lamiri mai laifi,negative,a guilty conscience
7722,lamuni kawai,neutral,just a loan
7723,lamuni mai kyau,positive,a good loan
7724,lamuni mai radadi,negative,a painful loan
7725,lamunin jiki,neutral,physical loan
7726,lardi ne,neutral,it is the province
7727,latti sosai,negative,very late
7728,launi ja,neutral,a red color
7729,launi mai kyau,positive,good color
7730,launi mai rawaya,neutral,a yellow color
7731,launi mai shudi,neutral,a blue color
7732,launi ne,neutral,it's color
7733,launuka makanta,negative,color blindness
7734,lauyan kyauta,positive,a free lawyer
7735,lauyoyin da suka yi nasara,positive,successful lawyers
7736,layi mara kyau,negative,bad row
7737,layu kamar haka,neutral,row is like that
7738,layuka ne masu kyau,positive,they are beautiful lines
7739,ldanna nan don duba,neutral,click here to scan
7740,lemo mai daraja,positive,a precious lemon
7741,lemo mai zaki,positive,sweet apple lemonade
7742,lemo ne,neutral,it is a lemon
7743,likita mai fara'a,positive,a cheerful doctor
7744,likita mai hankali,positive,a smart doctor
7745,likita mai karfi,positive,a powerful doctor
7746,likita mai taimako,positive,a helpful doctor
7747,likitan kirki,positive,a kind doctor
7748,likitan kwarai,positive,a good doctor
7749,likitan kwarai ne,positive,he is a good doctor
7750,likitan likita ne,neutral,the physician is a physician
7751,likitan sirri,neutral,secret doctor
7752,likitoci na musamman,positive,special doctors
7753,likitoci ne,neutral,they are doctors
7754,likitoci ne masu cin hanci da rashawa,negative,they are corrupt doctors
7755,linzamin kwamfuta,neutral,a mouse
7756,lissafi yana da kyau,positive,mathematics is good
7757,lissafin game da wani abu ne,neutral,the bill is about something
7758,littafi a tsare,neutral,book in custody
7759,littafi ce,neutral,scripture
7760,littafi mai tsarki,neutral,the bible
7761,littafi mai tsarki ne,neutral,it's a bible
7762,littafi na,neutral,my book
7763,littafi ne mai kyau,positive,it is a beautiful book
7764,littafin duniya,neutral,the book of the world
7765,littafin jagora,positive,a guide book
7766,littafin yara,neutral,a children's book
7767,littattafai ne masu kyau,positive,they are beautiful books
7768,littattafai suna da kyau,positive,books are good
7769,littattafan bincike,neutral,research literature
7770,lokaci don jin dadi,positive,time to have fun
7771,lokaci mai tsawo yana zuwa,negative,it is being a long time coming
7772,lokaci na yanzu,neutral,current time
7773,lokaci ne,neutral,it was occasion
7774,lokaci ne na kaddara,positive,it was a fateful moment
7775,lokaci ya yi,neutral,it's hang time
7776,lokaci ya yi da za a ba da labari,neutral,it's time to tip
7777,lokaci ya yi da za a bayyana,neutral,it is time to declare
7778,lokaci ya yi da za a cire,negative,it's time to expunge
7779,lokaci ya yi da za a daukaka,positive,it is time to elevate
7780,lokaci ya yi da za a dawo,neutral,it's time to get back
7781,lokaci ya yi da za a kawar da shi,negative,it's time to eradicate
7782,lokaci ya yi da za a rabu,negative,it is time to forsake
7783,lokaci ya yi da za a rabu da shi,negative,it's time to get rid of it
7784,lokaci ya yi da za a sha,neutral,it's time to drink
7785,lokaci ya yi da za a warke,neutral,it's time to heal
7786,lokaci ya yi da za a yarda,neutral,it's time to acknowledge
7787,lokaci ya yi da za a yi bikin,positive,it is time to celebrate
7788,lokaci ya yi don farfadowa,neutral,it's time for rejuvenation
7789,lokaci ya yi don shakatawa,neutral,it's time for a refresh
7790,lokaci ya yi na daukaka,negative,it's time for exalt
7791,lokaci yayi,neutral,it is time
7792,lokaci yayi da za a cire,neutral,it's time to rid
7793,lokaci yayi da za a dagawa,positive,it's time to elevate
7794,lokaci yayi da za a farfado,neutral,it's time to revive
7795,lokaci yayi da za a sabunta,neutral,it's time to refresh
7796,lokaci yayi da za a sake tsari,neutral,it is time to restructure
7797,lokaci yayi da za a tozarta,negative,it's time to denigrate
7798,lokaci yayi da za a yi magani,neutral,it's time to treat
7799,lokaci yayi da za'a kwadaita,neutral,it's time to urge
7800,lokaci yayi don flakes,neutral,it's time to flakes
7801,lokaci yayi don shakatawa,neutral,it's time to relax
7802,lokaci zuwa lokaci,neutral,time to time
7803,lokaci-lokaci yana faruwa,neutral,"occasionally, it happens"
7804,lokacin abincin dare ne,neutral,it is dinner time
7805,lokacin aiki ne,negative,it is a busy time
7806,lokacin bacci yayi,neutral,it's time to sleep
7807,lokacin barci yayi,neutral,it is time to sleep
7808,lokacin bazara masu aiki,positive,busy summers
7809,lokacin canji,neutral,shift time
7810,lokacin gamawa yayi,neutral,it's time to finish
7811,lokacin jayayya,neutral,a time of controversy
7812,lokacin kololuwa,neutral,peak time
7813,lokacin konewa yayi,negative,it's time to combust
7814,lokacin sa'a ne,neutral,the time is hour
7815,lokacin shawa yayi,neutral,it's time for a shower
7816,lokacin tashi yayi,neutral,it's time to fly
7817,lokacin tsira ne,neutral,it's survival time
7818,lura don jin dadi,positive,wink for fun
7819,lu'u-lu'u suna da ban sha'awa,positive,pearls are fascinating
7820,lu'u-lu'u suna da kyau,positive,pearls are beautiful
7821,luwadi ba shi da kyau,negative,homosexuality is not good
7822,m ga abin da ke faruwa,neutral,receptive to what's going on
7823,m game da hatsi,neutral,passionate about grains
7824,m hankali,negative,feeble minded
7825,m kyakkyawa,positive,"comely, comely"
7826,m mai ban sha'awa,positive,irresistibly delightful
7827,m sosai,positive,very flexible
7828,ma auratan sun yi wani abu don su yi sata,negative,the married couple did something to steal
7829,ma'aikaci mai aminci,positive,a loyal employee
7830,ma'aikaci mai gaskiya,positive,an honest worker
7831,ma'aikaci mai tausayi,neutral,a compassionate worker
7832,ma'aikaci mara kirki,neutral,an unkind worker
7833,ma'aikaci ne abin dogaro,positive,he is a reliable worker
7834,ma'aikacin banki mara lafiya,positive,a patient banker
7835,ma'aikacin gwamnati,neutral,civil servant
7836,ma'aikacin gwamnati mai aminci,positive,a loyal government employee
7837,ma'aikacin kasar,neutral,country bailiff
7838,ma'aikaciyar jinya,neutral,the nurse
7839,ma'aikata a tsare,neutral,workers in custody
7840,ma'aikata masu farin ciki,positive,cheerful staff
7841,ma'aikata masu fushi,negative,angry employees
7842,ma'aikata ne nagari,positive,they are good workers
7843,ma'aikatan jirgin suna aiki,neutral,the crew is working
7844,ma'amala mai dacewa,positive,appropriate interaction
7845,ma'amala tana faruwa,neutral,the interaction is happening
7846,ma'ana ce,neutral,it is a definition
7847,ma'ana iri daya,neutral,same meaning
7848,ma'asumi,neutral,infallible
7849,ma'auni nama,neutral,a scale of meat
7850,ma'auni ne,neutral,it is scale
7851,ma'aurata masu farin ciki,positive,happy couple
7852,ma'aurata masu fushi,negative,angry spouses
7853,ma'aurata masu hankali,positive,an intelligent couple
7854,ma'aurata ne masu farin ciki,positive,it is a happy couple
7855,ma'auratan ne,neutral,it is the couple
7856,ma'auratan sun watse,negative,the couple broke up
7857,maballin ne,neutral,a button
7858,mabiya na wani nau'i,neutral,adherents of a certain type
7859,mabiya ne,neutral,they are followers
7860,mace ce,neutral,it is woman
7861,mace ce abin dogaro,positive,she is a reliable woman
7862,mace ce mai gamsuwa,positive,she is a satisfied woman
7863,mace ce mai lafiya,positive,she is a healthy woman
7864,mace ce ta gari,positive,she is a good woman
7865,mace mafi kyau,positive,the best wife
7866,mace mai aikin sa kai a asibiti,neutral,a female volunteer at the hospital
7867,mace mai aminci,positive,a faithful woman
7868,mace mai daraja,positive,a noble woman
7869,mace mai farin ciki,positive,a happy woman
7870,mace mai fushi,negative,angry woman
7871,mace mai gaskiya,positive,an honest woman
7872,mace mai hakuri,positive,a patient woman
7873,mace mai hankali,positive,a smart woman
7874,mace mai karfi,positive,a strong woman
7875,mace mai kiba,neutral,fat woman
7876,mace mai ladabi,positive,a polite woman
7877,mace mai nasara,positive,a successful woman
7878,mace mai taimako,positive,a helpful woman
7879,mace mai tsari,neutral,a woman of order
7880,mace mai zullumi,negative,a miserable woman
7881,mace mara kunya,negative,a shameless woman
7882,mace ta musamman,positive,a special woman
7883,mace talaka,negative,a poor woman
7884,mace tana da ciki,neutral,a woman is pregnant
7885,maci amana,negative,traitor
7886,macijin ya fusata,negative,the snake was angry
7887,macijiya mai kisa,negative,a deadly snake
7888,madalla sosai,negative,very magnanimously
7889,madara mai yawa,neutral,a lot of milk
7890,madogararsa maguzawa,neutral,pagan sources
7891,madubin dubawa ne,neutral,it is an inspection mirror
7892,madubin tunani,neutral,the mirror of reflection
7893,mafarauci mai farin ciki,positive,a happy hunter
7894,mafarauci mai karfi,positive,a powerful hunter
7895,mafarkai masu dadi,positive,sweet dreams
7896,mafi araha mai kyau,positive,the most affordable good
7897,mafi arha,neutral,the cheapest one
7898,mafi arha irin,positive,the cheapest kind
7899,mafi ban tsoro,neutral,the scariest
7900,mafi duhu,negative,the darkest
7901,mafi girma,positive,the superior
7902,mafi girman duka,positive,the greatest of all
7903,mafi girman su duka,negative,grumpiest of all of them
7904,mafi girmansu duka,positive,the greatest of all of them
7905,mafi kaifi daga cikinsu,neutral,the sharpest of them
7906,mafi karancin tsafta,neutral,minimum hygiene
7907,mafi kaskanci,neutral,the lowest
7908,mafi kazanta,negative,the dirtiest
7909,mafi kyau,positive,the best
7910,mafi kyau a cikin aji,positive,best in class
7911,mafi kyawu,positive,the most brilliant
7912,mafi kyawun abin yi,positive,the perfect thing to do
7913,mafi kyawun abinci,positive,the best food
7914,mafi kyawun aiki,positive,the best job
7915,mafi kyawun allo,positive,the best board
7916,mafi kyawun babur,positive,the best motorcycle
7917,mafi kyawun biro,positive,the best biro
7918,mafi kyawun budurwa,positive,the best girlfriend
7919,mafi kyawun duka,positive,the best of all
7920,mafi kyawun farantin,positive,the best plate
7921,mafi kyawun gida,positive,the best house
7922,mafi kyawun gini,positive,the best building
7923,mafi kyawun gwauruwa,positive,the best widow
7924,mafi kyawun kariya,positive,best protection
7925,mafi kyawun kofi,positive,the best coffee
7926,mafi kyawun kwamfuta,positive,the best computer
7927,mafi kyawun littafin,positive,the best book
7928,mafi kyawun ma'aikaci,positive,best employee
7929,mafi kyawun mace,positive,the most beautiful woman
7930,mafi kyawun mafi kyau,positive,the best of the best
7931,mafi kyawun makaranta,positive,the best school
7932,mafi kyawun mata,positive,the best women
7933,mafi kyawun mota,positive,the best car
7934,mafi kyawun na'urar,positive,the best device
7935,mafi kyawun ofis,positive,the best office
7936,mafi kyawun sa'a daga gare ta,positive,best of luck out of it
7937,mafi kyawun sabis,positive,the best waiter
7938,mafi kyawun sayayya,positive,the best buy
7939,mafi kyawun shirt,positive,the best shirt
7940,mafi kyawun tebur,positive,the best table
7941,mafi kyawun wando,positive,the best pants
